# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  237    -   244
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.447368        0.500000        0.000000        0.840136
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.342105        0.000000        0.000000       -0.999951
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
   0.930653  -0.373794   0.214738        0.341654               1.210526  -0.500000   0.000000
   0.930653  -0.747589   0.214738       -0.765860               1.210526  -1.000000   0.000000
   0.910422   1.121383   0.210070        0.317475               1.184211   1.500000   0.000000
   0.910422   0.747589   0.210070       -0.760041               1.184211   1.000000   0.000000
   0.910422   0.373794   0.210070        0.317475               1.184211   0.500000   0.000000
   0.910422   0.000000   0.210070       -0.760041               1.184211   0.000000   0.000000
   0.910422  -0.373794   0.210070        0.317475               1.184211  -0.500000   0.000000
   0.910422  -0.747589   0.210070       -0.760041               1.184211  -1.000000   0.000000
   0.890190   1.121383   0.205402        0.285397               1.157895   1.500000   0.000000
   0.890190   0.747589   0.205402       -0.764000               1.157895   1.000000   0.000000
   0.890190   0.373794   0.205402        0.285397               1.157895   0.500000   0.000000
   0.890190   0.000000   0.205402       -0.764000               1.157895   0.000000   0.000000
   0.890190  -0.373794   0.205402        0.285397               1.157895  -0.500000   0.000000
   0.890190  -0.747589   0.205402       -0.764000               1.157895  -1.000000   0.000000
   0.869959   1.121383   0.200734        0.245536               1.131579   1.500000   0.000000
   0.869959   0.747589   0.200734       -0.776119               1.131579   1.000000   0.000000
   0.869959   0.373794   0.200734        0.245536               1.131579   0.500000   0.000000
   0.869959   0.000000   0.200734       -0.776119               1.131579   0.000000   0.000000
   0.869959  -0.373794   0.200734        0.245536               1.131579  -0.500000   0.000000
   0.869959  -0.747589   0.200734       -0.776119               1.131579  -1.000000   0.000000
   0.849727   1.121383   0.196066        0.198424               1.105263   1.500000   0.000000
   0.849727   0.747589   0.196066       -0.789898               1.105263   1.000000   0.000000
   0.849727   0.373794   0.196066        0.198424               1.105263   0.500000   0.000000
   0.849727   0.000000   0.196066       -0.789898               1.105263   0.000000   0.000000
   0.849727  -0.373794   0.196066        0.198424               1.105263  -0.500000   0.000000
   0.849727  -0.747589   0.196066       -0.789898               1.105263  -1.000000   0.000000
   0.829495   1.121383   0.191397        0.145685               1.078947   1.500000   0.000000
   0.829495   0.373794   0.191397        0.145685               1.078947   0.500000   0.000000
   0.829495  -0.373794   0.191397        0.145685               1.078947  -0.500000   0.000000
   0.829495   0.747589   0.191397       -0.761530               1.078947   1.000000   0.000000
   0.829495   0.000000   0.191397       -0.761530               1.078947   0.000000   0.000000
   0.829495  -0.747589   0.191397       -0.761530               1.078947  -1.000000   0.000000
   0.809264   1.121383   0.186729        0.090233               1.052632   1.500000   0.000000
   0.809264   0.747589   0.186729       -0.845754               1.052632   1.000000   0.000000
   0.809264   0.373794   0.186729        0.090233               1.052632   0.500000   0.000000
   0.809264   0.000000   0.186729       -0.845754               1.052632   0.000000   0.000000
   0.809264  -0.373794   0.186729        0.090233               1.052632  -0.500000   0.000000
   0.809264  -0.747589   0.186729       -0.845754               1.052632  -1.000000   0.000000
   0.789032   1.121383   0.182061        0.035412               1.026316   1.500000   0.000000
   0.789032   0.747589   0.182061       -0.835961               1.026316   1.000000   0.000000
   0.789032   0.373794   0.182061        0.035412               1.026316   0.500000   0.000000
   0.789032   0.000000   0.182061       -0.835961               1.026316   0.000000   0.000000
   0.789032  -0.373794   0.182061        0.035412               1.026316  -0.500000   0.000000
   0.789032  -0.747589   0.182061       -0.835961               1.026316  -1.000000   0.000000
   0.768801   1.121383   0.177393       -0.016752               1.000000   1.500000   0.000000
   0.768801   1.121383   0.177393       -0.016751               1.000000   1.500000   0.000000
   0.768801   1.101710   0.177393       -0.017146               1.000000   1.473684   0.000000
   0.768801   1.082037   0.177393       -0.020839               1.000000   1.447368   0.000000
   0.768801   1.062363   0.177393       -0.026161               1.000000   1.421053   0.000000
   0.768801   1.042690   0.177393       -0.033706               1.000000   1.394737   0.000000
   0.768801   1.023016   0.177393       -0.043569               1.000000   1.368421   0.000000
   0.768801   1.003343   0.177393       -0.044862               1.000000   1.342105   0.000000
   0.768801   0.983670   0.177393        0.227128               1.000000   1.315789   0.000000
   0.768801   0.963996   0.177393        0.175172               1.000000   1.289474   0.000000
   0.768801   0.944323   0.177393       -0.035202               1.000000   1.263158   0.000000
   0.768801   0.924649   0.177393       -0.993211               1.000000   1.236842   0.000000
   0.768801   0.904976   0.177393       -0.393730               1.000000   1.210526   0.000000
   0.768801   0.885303   0.177393       -0.363740               1.000000   1.184211   0.000000
   0.768801   0.865629   0.177393       -0.408441               1.000000   1.157895   0.000000
   0.768801   0.845956   0.177393       -0.482130               1.000000   1.131579   0.000000
   0.768801   0.826282   0.177393       -0.572562               1.000000   1.105263   0.000000
   0.768801   0.806609   0.177393       -0.670170               1.000000   1.078947   0.000000
   0.768801   0.786936   0.177393       -0.765209               1.000000   1.052632   0.000000
   0.768801   0.767262   0.177393       -0.849187               1.000000   1.026316   0.000000
   0.768801   0.747589   0.177393       -0.674716               1.000000   1.000000   0.000000
   0.768801   0.747589   0.177393       -0.674718               1.000000   1.000000   0.000000
   0.768801   0.373794   0.177393       -0.016752               1.000000   0.500000   0.000000
   0.768801   0.373794   0.177393       -0.016751               1.000000   0.500000   0.000000
   0.768801   0.354121   0.177393       -0.017146               1.000000   0.473684   0.000000
   0.768801   0.334448   0.177393       -0.020839               1.000000   0.447368   0.000000
   0.768801   0.314774   0.177393       -0.026161               1.000000   0.421053   0.000000
   0.768801   0.295101   0.177393       -0.033706               1.000000   0.394737   0.000000
   0.768801   0.275427   0.177393       -0.043569               1.000000   0.368421   0.000000
   0.768801   0.255754   0.177393       -0.044862               1.000000   0.342105   0.000000
   0.768801   0.236081   0.177393        0.227128               1.000000   0.315789   0.000000
   0.768801   0.216407   0.177393        0.175172               1.000000   0.289474   0.000000
   0.768801   0.196734   0.177393       -0.035202               1.000000   0.263158   0.000000
   0.768801   0.177061   0.177393       -0.993211               1.000000   0.236842   0.000000
   0.768801   0.157387   0.177393       -0.393730               1.000000   0.210526   0.000000
   0.768801   0.137714   0.177393       -0.363740               1.000000   0.184211   0.000000
   0.768801   0.118040   0.177393       -0.408441               1.000000   0.157895   0.000000
   0.768801   0.098367   0.177393       -0.482130               1.000000   0.131579   0.000000
   0.768801   0.078694   0.177393       -0.572562               1.000000   0.105263   0.000000
   0.768801   0.059020   0.177393       -0.670170               1.000000   0.078947   0.000000
   0.768801   0.039347   0.177393       -0.765209               1.000000   0.052632   0.000000
   0.768801   0.019673   0.177393       -0.849187               1.000000   0.026316   0.000000
   0.768801   0.000000   0.177393       -0.674718               1.000000   0.000000   0.000000
   0.768801   0.000000   0.177393       -0.674716               1.000000   0.000000   0.000000
   0.768801  -0.373794   0.177393       -0.016752               1.000000  -0.500000   0.000000
   0.768801  -0.373794   0.177393       -0.016751               1.000000  -0.500000   0.000000
   0.768801  -0.393468   0.177393       -0.017146               1.000000  -0.526316   0.000000
   0.768801  -0.413141   0.177393       -0.020839               1.000000  -0.552632   0.000000
   0.768801  -0.432815   0.177393       -0.026161               1.000000  -0.578947   0.000000
   0.768801  -0.452488   0.177393       -0.033706               1.000000  -0.605263   0.000000
   0.768801  -0.472161   0.177393       -0.043569               1.000000  -0.631579   0.000000
   0.768801  -0.491835   0.177393       -0.044862               1.000000  -0.657895   0.000000
   0.768801  -0.511508   0.177393        0.227128               1.000000  -0.684211   0.000000
   0.768801  -0.531182   0.177393        0.175172               1.000000  -0.710526   0.000000
   0.768801  -0.550855   0.177393       -0.035202               1.000000  -0.736842   0.000000
   0.768801  -0.570528   0.177393       -0.993211               1.000000  -0.763158   0.000000
   0.768801  -0.590202   0.177393       -0.393730               1.000000  -0.789474   0.000000
   0.768801  -0.609875   0.177393       -0.363740               1.000000  -0.815789   0.000000
   0.768801  -0.629549   0.177393       -0.408441               1.000000  -0.842105   0.000000
   0.768801  -0.649222   0.177393       -0.482130               1.000000  -0.868421   0.000000
   0.768801  -0.668895   0.177393       -0.572562               1.000000  -0.894737   0.000000
   0.768801  -0.688569   0.177393       -0.670170               1.000000  -0.921053   0.000000
   0.768801  -0.708242   0.177393       -0.765209               1.000000  -0.947368   0.000000
   0.768801  -0.727915   0.177393       -0.849187               1.000000  -0.973684   0.000000
   0.768801  -0.747589   0.177393       -0.674716               1.000000  -1.000000   0.000000
   0.768801  -0.747589   0.177393       -0.674718               1.000000  -1.000000   0.000000
   0.384400   1.121383   0.088696       -0.048465               0.500000   1.500000   0.000000
   0.384400   1.121383   0.088696       -0.048465               0.500000   1.500000   0.000000
   0.384400   1.101710   0.088696       -0.015244               0.500000   1.473684   0.000000
   0.384400   1.082037   0.088696       -0.020643               0.500000   1.447368   0.000000
   0.384400   1.062363   0.088696       -0.026884               0.500000   1.421053   0.000000
   0.384400   1.042690   0.088696       -0.034243               0.500000   1.394737   0.000000
   0.384400   1.023016   0.088696       -0.043343               0.500000   1.368421   0.000000
   0.384400   1.003343   0.088696       -0.055187               0.500000   1.342105   0.000000
   0.384400   0.983670   0.088696       -0.071373               0.500000   1.315789   0.000000
   0.384400   0.963996   0.088696       -0.094670               0.500000   1.289474   0.000000
   0.384400   0.944323   0.088696       -0.130143               0.500000   1.263158   0.000000
   0.384400   0.924649   0.088696       -0.187661               0.500000   1.236842   0.000000
   0.384400   0.904976   0.088696       -0.288642               0.500000   1.210526   0.000000
   0.384400   0.885303   0.088696       -0.478150               0.500000   1.184211   0.000000
   0.384400   0.865629   0.088696       -0.779908               0.500000   1.157895   0.000000
   0.384400   0.845956   0.088696       -0.836036               0.500000   1.131579   0.000000
   0.384400   0.826282   0.088696       -0.657335               0.500000   1.105263   0.000000
   0.384400   0.806609   0.088696       -0.566030               0.500000   1.078947   0.000000
   0.384400   0.786936   0.088696       -0.550717               0.500000   1.052632   0.000000
   0.384400   0.767262   0.088696       -0.576920               0.500000   1.026316   0.000000
   0.384400   0.747589   0.088696       -0.671723               0.500000   1.000000   0.000000
   0.384400   0.747589   0.088696       -0.671724               0.500000   1.000000   0.000000
   0.384400   0.373794   0.088696       -0.048465               0.500000   0.500000   0.000000
   0.384400   0.373794   0.088696       -0.048465               0.500000   0.500000   0.000000
   0.384400   0.354121   0.088696       -0.015244               0.500000   0.473684   0.000000
   0.384400   0.334448   0.088696       -0.020643               0.500000   0.447368   0.000000
   0.384400   0.314774   0.088696       -0.026884               0.500000   0.421053   0.000000
   0.384400   0.295101   0.088696       -0.034243               0.500000   0.394737   0.000000
   0.384400   0.275427   0.088696       -0.043343               0.500000   0.368421   0.000000
   0.384400   0.255754   0.088696       -0.055187               0.500000   0.342105   0.000000
   0.384400   0.236081   0.088696       -0.071373               0.500000   0.315789   0.000000
   0.384400   0.216407   0.088696       -0.094670               0.500000   0.289474   0.000000
   0.384400   0.196734   0.088696       -0.130143               0.500000   0.263158   0.000000
   0.384400   0.177061   0.088696       -0.187661               0.500000   0.236842   0.000000
   0.384400   0.157387   0.088696       -0.288642               0.500000   0.210526   0.000000
   0.384400   0.137714   0.088696       -0.478150               0.500000   0.184211   0.000000
   0.384400   0.118040   0.088696       -0.779908               0.500000   0.157895   0.000000
   0.384400   0.098367   0.088696       -0.836036               0.500000   0.131579   0.000000
   0.384400   0.078694   0.088696       -0.657335               0.500000   0.105263   0.000000
   0.384400   0.059020   0.088696       -0.566030               0.500000   0.078947   0.000000
   0.384400   0.039347   0.088696       -0.550717               0.500000   0.052632   0.000000
   0.384400   0.019673   0.088696       -0.576920               0.500000   0.026316   0.000000
   0.384400   0.000000   0.088696       -0.671723               0.500000   0.000000   0.000000
   0.384400   0.000000   0.088696       -0.671724               0.500000   0.000000   0.000000
   0.384400  -0.373794   0.088696       -0.048465               0.500000  -0.500000   0.000000
   0.384400  -0.373794   0.088696       -0.048465               0.500000  -0.500000   0.000000
   0.384400  -0.393468   0.088696       -0.015244               0.500000  -0.526316   0.000000
   0.384400  -0.413141   0.088696       -0.020643               0.500000  -0.552632   0.000000
   0.384400  -0.432815   0.088696       -0.026884               0.500000  -0.578947   0.000000
   0.384400  -0.452488   0.088696       -0.034243               0.500000  -0.605263   0.000000
   0.384400  -0.472161   0.088696       -0.043343               0.500000  -0.631579   0.000000
   0.384400  -0.491835   0.088696       -0.055187               0.500000  -0.657895   0.000000
   0.384400  -0.511508   0.088696       -0.071373               0.500000  -0.684211   0.000000
   0.384400  -0.531182   0.088696       -0.094670               0.500000  -0.710526   0.000000
   0.384400  -0.550855   0.088696       -0.130143               0.500000  -0.736842   0.000000
   0.384400  -0.570528   0.088696       -0.187661               0.500000  -0.763158   0.000000
   0.384400  -0.590202   0.088696       -0.288642               0.500000  -0.789474   0.000000
   0.384400  -0.609875   0.088696       -0.478150               0.500000  -0.815789   0.000000
   0.384400  -0.629549   0.088696       -0.779908               0.500000  -0.842105   0.000000
   0.384400  -0.649222   0.088696       -0.836036               0.500000  -0.868421   0.000000
   0.384400  -0.668895   0.088696       -0.657335               0.500000  -0.894737   0.000000
   0.384400  -0.688569   0.088696       -0.566030               0.500000  -0.921053   0.000000
   0.384400  -0.708242   0.088696       -0.550717               0.500000  -0.947368   0.000000
   0.384400  -0.727915   0.088696       -0.576920               0.500000  -0.973684   0.000000
   0.384400  -0.747589   0.088696       -0.671723               0.500000  -1.000000   0.000000
   0.384400  -0.747589   0.088696       -0.671724               0.500000  -1.000000   0.000000
   0.364169   1.121383   0.084028        0.522061               0.473684   1.500000   0.000000
   0.364169   0.373794   0.084028        0.522061               0.473684   0.500000   0.000000
   0.364169  -0.373794   0.084028        0.522061               0.473684  -0.500000   0.000000
   0.364169   0.747589   0.084028       -0.500858               0.473684   1.000000   0.000000
   0.364169   0.000000   0.084028       -0.500858               0.473684   0.000000   0.000000
   0.364169  -0.747589   0.084028       -0.500858               0.473684  -1.000000   0.000000
   0.343937   1.121383   0.079360        0.840136               0.447368   1.500000   0.000000
   0.343937   0.373794   0.079360        0.840136               0.447368   0.500000   0.000000
   0.343937  -0.373794   0.079360        0.840136               0.447368  -0.500000   0.000000
   0.343937   0.747589   0.079360       -0.663671               0.447368   1.000000   0.000000
   0.343937   0.000000   0.079360       -0.663671               0.447368   0.000000   0.000000
   0.343937  -0.747589   0.079360       -0.663671               0.447368  -1.000000   0.000000
   0.323706   1.121383   0.074692        0.760189               0.421053   1.500000   0.000000
   0.323706   0.747589   0.074692       -0.791621               0.421053   1.000000   0.000000
   0.323706   0.373794   0.074692        0.760189               0.421053   0.500000   0.000000
   0.323706   0.000000   0.074692       -0.791621               0.421053   0.000000   0.000000
   0.323706  -0.373794   0.074692        0.760189               0.421053  -0.500000   0.000000
   0.323706  -0.747589   0.074692       -0.791621               0.421053  -1.000000   0.000000
   0.303474   1.121383   0.070023        0.558069               0.394737   1.500000   0.000000
   0.303474   0.747589   0.070023       -0.894225               0.394737   1.000000   0.000000
   0.303474   0.373794   0.070023        0.558069               0.394737   0.500000   0.000000
   0.303474   0.000000   0.070023       -0.894225               0.394737   0.000000   0.000000
   0.303474  -0.373794   0.070023        0.558069               0.394737  -0.500000   0.000000
   0.303474  -0.747589   0.070023       -0.894225               0.394737  -1.000000   0.000000
   0.283242   1.121383   0.065355        0.437114               0.368421   1.500000   0.000000
   0.283242   0.747589   0.065355       -0.968165               0.368421   1.000000   0.000000
   0.283242   0.373794   0.065355        0.437114               0.368421   0.500000   0.000000
   0.283242   0.000000   0.065355       -0.968165               0.368421   0.000000   0.000000
   0.283242  -0.373794   0.065355        0.437114               0.368421  -0.500000   0.000000
   0.283242  -0.747589   0.065355       -0.968165               0.368421  -1.000000   0.000000
   0.263011   1.121383   0.060687        0.389707               0.342105   1.500000   0.000000
